Food_Ingredient,Category,Health_Label,Nutrition_Score,Remarks
Turmeric oleoresin variant 956 variant 761 variant 641,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Dimethylpolysiloxane variant 170 variant 259 variant 631,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Lemon juice concentrate variant 381,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Sodium citrate variant 203 variant 532 variant 305 variant 961 variant 953,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Turmeric oleoresin variant 572,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Paneer solids variant 458 variant 941 variant 841 variant 253 variant 248,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Riboflavin,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cumin variant 856 variant 170 variant 79,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Hexametaphosphate,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Cinnamon variant 937 variant 412,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Artificial butter flavor variant 510 variant 493,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Calcium lactate variant 306,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Pea protein variant 599 variant 971,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Milk solids variant 101 variant 719 variant 109 variant 390,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Hydrogenated oil variant 375 variant 946 variant 73 variant 59 variant 49,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Ginger variant 728 variant 893 variant 944 variant 814,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Riboflavin variant 275 variant 624 variant 147 variant 810 variant 214,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Potassium nitrate variant 560 variant 459 variant 523 variant 824,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Potassium nitrate variant 303 variant 134 variant 394,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Lactic acid variant 861,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Niacinamide variant 547 variant 498 variant 502 variant 433,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Butylated hydroxytoluene (BHT) variant 461,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Milk solids variant 101,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Calcium propionate variant 752 variant 401 variant 551 variant 947 variant 298,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Soy protein variant 680 variant 530 variant 686,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Rock salt variant 675 variant 906 variant 96 variant 21,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium phosphate variant 45 variant 545,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Hydrogenated oil variant 375 variant 946 variant 73 variant 144,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Sodium citrate variant 652 variant 220 variant 990,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Propionate preservative variant 424,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Microcrystalline cellulose variant 411 variant 593,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Quinoa variant 395 variant 34 variant 62,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Rock salt variant 675 variant 906 variant 73 variant 936 variant 821 variant 461,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
High fructose corn syrup variant 399,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Xanthan gum variant 320 variant 453,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
High fructose corn syrup variant 808,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 165 variant 744 variant 415,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium acetate variant 628 variant 645,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Hydrogenated oil variant 375 variant 946 variant 73 variant 144 variant 989,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Maltodextrin variant 546 variant 942 variant 30,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Mint leaves variant 502,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Polydextrose variant 791,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Clove variant 203,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Cashews variant 732 variant 960 variant 864,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Garlic variant 46,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Ginger variant 5 variant 941,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Pectin variant 692,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Propionate preservative,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Sodium aluminosilicate variant 282 variant 626 variant 668 variant 495 variant 868 variant 609,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Inulin variant 585 variant 355,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Cinnamon variant 937 variant 692 variant 805,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Potassium nitrate variant 988 variant 677 variant 800,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Lecithin variant 4,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Disodium inosinate variant 755,Additive/Chemical,Unhealthy,3,Potentially harmful or artificial ingredient. Limit intake.
Black pepper variant 32 variant 241,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Soy lecithin,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Niacinamide variant 547 variant 498 variant 322 variant 757 variant 183,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Rice flour variant 969 variant 110,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium acetate variant 628 variant 632 variant 309,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Cold pressed coconut oil variant 921 variant 562,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Lemon juice concentrate variant 381 variant 871 variant 793 variant 495,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Fumaric acid,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Potassium sorbate variant 716 variant 562 variant 931,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Pea protein variant 430 variant 848,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Butylated hydroxyanisole (BHA) variant 798 variant 951,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Chemical stabilizer variant 442 variant 613,Additive/Chemical,Unhealthy,2,Potentially harmful or artificial ingredient. Limit intake.
Black salt variant 236 variant 17 variant 4,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Desi ghee variant 524,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Ammonium citrate variant 393 variant 59,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Synthetic emulsifier variant 810 variant 185,Additive/Chemical,Unhealthy,1,Potentially harmful or artificial ingredient. Limit intake.
Sodium ascorbate variant 159 variant 390,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
Milk solids variant 28 variant 453,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Xanthan gum,Preservative/Emulsifier,Caution,5,Used for texture/preservation; may cause side effects if overconsumed.
Ferric pyrophosphate variant 396 variant 705 variant 85,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Beetroot powder variant 22 variant 353 variant 345,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Onion powder,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Himalayan pink salt variant 709 variant 618 variant 718 variant 688,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Honey,Natural/Healthy,Healthy,10,Rich in nutrients and beneficial for health.
Cold pressed coconut oil variant 906,Natural/Healthy,Healthy,9,Rich in nutrients and beneficial for health.
Isomaltooligosaccharides variant 732 variant 385,Preservative/Emulsifier,Caution,6,Used for texture/preservation; may cause side effects if overconsumed.
Brown sugar variant 180 variant 860 variant 639,Natural/Healthy,Healthy,8,Rich in nutrients and beneficial for health.
Sodium gluconate variant 770 variant 859 variant 391,Preservative/Emulsifier,Caution,4,Used for texture/preservation; may cause side effects if overconsumed.
